CLSel[1:0],PixR<Rn>C<Cn>Cfg0[1:0],2b00
IBSel[2:0],PixR<Rn>C<Cn>Cfg0 [4:2],3b111
RfSel[1:0],PixR<Rn>C<Cn>Cfg0 [6:5],2b10
HysSel[3:0],PixR<Rn>C<Cn>Cfg2 [3:0],4b1111
PD_DACDiscri,PixR<Rn>C<Cn>Cfg2 [4],1b0
QSel<4:0>,PixR<Rn>C<Cn>Cfg1 [4:0],5b00110
QInjEn,PixR<Rn>C<Cn>Cfg1 [5],1b0
autoReset_TDC,PixR<Rn>C<Cn>Cfg6[5],1b0
enable_TDC,PixR<Rn>C<Cn>Cfg6[7],1b1
level_TDC[2:0],PixR<Rn>C<Cn>Cfg6[3:1],3b001
resetn_TDC,PixR<Rn>C<Cn>Cfg6[6],1b1
testMode_TDC,PixR<Rn>C<Cn>Cfg6[4],1b0
Bypass_ THCal,PixR<Rn>C<Cn>Cfg3[2],1b1
DAC[9:0],"PixR<Rn>C<Cn>Cfg5[1:0], PixR<Rn>C<Cn>Cfg4[7:0]",10b0000000000
TH_offset[5:0],PixR<Rn>C<Cn>Cfg5[7:2],6b001010
RSTn_THCal,PixR<Rn>C<Cn>Cfg3[0],1b1
ScanStart_THCal,PixR<Rn>C<Cn>Cfg3[4],1b0
BufEn_THCal,PixR<Rn>C<Cn>Cfg3[1],1b0
CLKEn_THCal,PixR<Rn>C<Cn>Cfg3[3],1b0
workMode[1:0],PixR<Rn>C<Cn>Cfg7[4:3],2b00
L1Adelay[8:0],"PixR<Rn>C<Cn>Cfg9[7:0], PixR<Rn>C<Cn>Cfg8[7]",9b000000000
disDataReadout,PixR<Rn>C<Cn>Cfg7[1],1b0
disTrigPath,PixR<Rn>C<Cn>Cfg7[2],1b0
upperTOATrig,"PixR<Rn>C<Cn>Cfg22[1:0], PixR<Rn>C<Cn>Cfg21[7:0]",10b1000000000
lowerTOATrig,"PixR<Rn>C<Cn>Cfg20[7:0], PixR<Rn>C<Cn>Cfg19[7:6]",10b0000100000
upperTOTTrig,"PixR<Rn>C<Cn>Cfg24[2:0], PixR<Rn>C<Cn>Cfg23[7:2]",9b100000000
lowerTOTTrig,"PixR<Rn>C<Cn>Cfg23[1:0], PixR<Rn>C<Cn>Cfg22[7:2]",9b000010000
upperCalTrig,"PixR<Rn>C<Cn>Cfg19[5:0], PixR<Rn>C<Cn>Cfg18[7:4]",10b1000000000
lowerCalTrig,"PixR<Rn>C<Cn>Cfg18[3:0], PixR<Rn>C<Cn>Cfg17[7:2]",10b0000010000
